BAE,DataID,Divisi,EfekEmiten_EBA,EfekEmiten_ETF,EfekEmiten_Obligasi,EfekEmiten_Saham,EfekEmiten_SPEI,Industri,SubIndustri,Email,Fax,id,JenisEmiten,KegiatanUsahaUtama,KodeDivisi,KodeEmiten,NamaEmiten,NPKP,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Status,Logo
PT. Raya Saham Registra,0,,False,False,False,True,False,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Investor@astra-agro.co.id,"461-6655, 461-6677, 461-6688",0,,Agriculture Plantation,,AALI,Astra Agro Lestari Tbk,,01.334.427.0-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-12-09T00:00:00,461-65-55,http://www.astra-agro.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AALI.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Media,Penerbitan,corsec@mahakax.com,(021) 573 9210,0,,Media dan Percetakan,,ABBA,Mahaka Media Tbk,0,01.609.052.4-054.000,Pengembangan,Barang Konsumen Non-Primer,Media & Hiburan,2002-04-03T00:00:00,(021) 573 9203,www.mahakax.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ABBA.jpg
PT. Raya Saham Registra,0,,False,False,False,True,False,Asuransi,Asuransi Umum,contactus@abda.co.id,5140 1698 ,0,,Asuransi Kerugian ,,ABDA,Asuransi Bina Dana Arta Tbk,,01.362.014.1-054.000 ,Pengembangan,Keuangan,Asuransi,1989-07-06T00:00:00,5140 1688,www.abda.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ABDA.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,0,,berupa jasa penyewaan namun tidak terbatas pada alat - alat berat untuk keperluan eksplorasi dan eksploitasi dan dewatering di industri pertambangan ,,ABMM,ABM Investama Tbk,PEM-01535/WPJ.04/KP.1003/2008,02.504.191.4-054.000,Utama,Perindustrian,Perusahaan Holding Multi Sektor,2011-12-06T00:00:00,021-29976767,www.abm-investama.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ABMM.jpg
PT. EDI Indonesia,0,,False,False,False,True,False,Ritel Khusus,Ritel Barang Rumah Tangga,	toto@acehardware.co.id,	021 - 5824022,0,,Perdagangan,,ACES,Ace Hardware Indonesia Tbk,,	01.721.123.6-054.000,Utama,Barang Konsumen Non-Primer,Perdagangan Ritel,2007-11-06T00:00:00,	021 - 5822222,www.acehardware.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ACES.jpg
PT. Sinartama Gunita,0,,False,False,False,True,False,Konstruksi Bangunan,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,0,,Jasa Konstruksi untuk bangunan komersial dan infrastruktur,,ACST,PT Acset Indonusa Tbk.,-,01.709.626.4-054.000,Utama,Infrastruktur,Konstruksi Bangunan,2013-06-24T00:00:00,(021) 3511961,www.acset.co,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ACST.jpg
,0,,False,False,True,True,False,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,corsec@adcp.co.id,(021) 228 220 81,0,,Perhotelan dan Real Estate,,ADCP,PT Adhi Commuter Properti Tbk,,85.227.029.7-093.000,Utama,Properti & Real Estat,Properti & Real Estat,2021-05-21T00:00:00,(021) 228 229 80,www.adcp.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADCP.jpg
PT. Raya Saham Registra,0,,False,False,False,True,False,Minuman,Minuman Ringan,wisnu.adji@akashainternational.com,021 - 78845549; 78845547,0,,Minuman dan  Makanan Ringan,,ADES,Akasha Wira International Tbk  Tbk,-,01.371.491.0-054.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,1994-06-13T00:00:00,081119345000,www.akashainternational.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADES.jpg
,0,,False,False,True,True,False,Konstruksi Bangunan,Konstruksi Bangunan,adhi@adhi.co.id,021-7975311,0,,Konstruksi,,ADHI,PT Adhi Karya (Persero) Tbk.,,01.001.610.3-051.000,Utama,Infrastruktur,Konstruksi Bangunan,2004-03-18T00:00:00,021-7975312,www.adhi.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADHI.jpg
,0,,False,False,True,True,False,Pembiayaan Konsumen,Pembiayaan Konsumen,af.corsec@adira.co.id,021-3973 4949,0,,Pembiayaan,,ADMF,Adira Dinamika Multi Finance Tbk,,01.346.494.6-091.000,Utama,Keuangan,Jasa Pembiayaan,2004-03-31T00:00:00,"021-3973 3232, 021-3973 3322",www.adira.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADMF.jpg
